efficiency,sustainability,equality,peace
52.0,104.2,888.89,0.75
49.25,92.04,884.85,0.77
52.5,106.07,893.35,0.73
48.75,91.82,886.4,0.77
42.75,79.45,881.49,0.76
51.0,96.44,884.73,0.78
42.5,72.19,877.71,0.76
45.25,76.72,867.9,0.76
34.5,53.91,871.86,0.76
51.0,94.87,875.2,0.75
43.5,91.11,877.41,0.76
41.75,78.07,876.4,0.76
57.5,118.07,888.93,0.78
36.25,55.54,891.49,0.77
41.25,75.7,886.9,0.79
43.0,78.2,887.81,0.79
43.0,81.17,886.52,0.76
43.75,80.11,884.12,0.77
43.0,71.24,896.53,0.79
46.25,96.85,872.19,0.74
47.75,87.67,879.01,0.75
52.0,90.68,893.03,0.78
42.0,68.54,874.64,0.77
